Approval_Year,Drug_Name,ChEMBL_ID
1939,BUTABARBITAL,CHEMBL449
1939,BUTABARBITAL SODIUM,CHEMBL1200982
1939,DESOXYCORTICOSTERONE ACETATE,CHEMBL1200542
1939,GUANIDINE,CHEMBL821
1939,GUANIDINE HYDROCHLORIDE,CHEMBL1200728
1939,HEPARIN SODIUM,CHEMBL1201657
1939,HISTAMINE,CHEMBL90
1939,HISTAMINE PHOSPHATE,CHEMBL3989520
1939,SULFAPYRIDINE,CHEMBL700
1940,AMINOPHYLLINE,CHEMBL1370561
1940,THEOPHYLLINE,CHEMBL190
1941,ERGOCALCIFEROL,CHEMBL1536
1941,SULFADIAZINE,CHEMBL439
1941,SULFADIAZINE SODIUM,CHEMBL1200351
1942,"ESTROGENS, CONJUGATED",CHEMBL1201649
1942,MEPERIDINE,CHEMBL607
1942,MEPERIDINE HYDROCHLORIDE,CHEMBL1701
1943,HOMATROPINE METHYLBROMIDE,CHEMBL1200851
1943,HYDROCODONE,CHEMBL1457
1943,HYDROCODONE BITARTRATE,CHEMBL3989677
1943,METHAMPHETAMINE,CHEMBL1201201
1943,METHAMPHETAMINE HYDROCHLORIDE,CHEMBL1200952
1943,METHYLHOMATROPINE,CHEMBL1201235
1944,DICUMAROL,CHEMBL1466
1945,NITROFURAZONE,CHEMBL869
1945,SULFABENZAMIDE,CHEMBL1243
1945,SULFACETAMIDE,CHEMBL455
1945,SULFATHIAZOLE,CHEMBL437
1945,TUBOCURARINE,CHEMBL339427
1945,TUBOCURARINE CHLORIDE,CHEMBL3989821
1946,DIHYDROERGOTAMINE,CHEMBL1732
1946,DIHYDROERGOTAMINE MESYLATE,CHEMBL1200517
1946,DIMERCAPROL,CHEMBL1597
1946,DIPHENHYDRAMINE,CHEMBL657
1946,DIPHENHYDRAMINE HYDROCHLORIDE,CHEMBL1620
1946,MEPHENYTOIN,CHEMBL861
1946,METHYLERGONOVINE,CHEMBL1201356
1946,METHYLERGONOVINE MALEATE,CHEMBL1200843
1946,SODIUM TETRADECYL SULFATE,CHEMBL1200354
1946,STREPTOMYCIN,CHEMBL372795
1946,STREPTOMYCIN SULFATE,CHEMBL3184791
1946,TETRADECYL SULFURIC ACID,CHEMBL1201345
1946,TRIMETHADIONE,CHEMBL695
1947,BENZYLPENICILLIN,CHEMBL29
1947,DIENESTROL,CHEMBL1018
1947,METHADONE,CHEMBL651
1947,METHADONE HYDROCHLORIDE,CHEMBL1200825
1947,PENICILLIN G POTASSIUM,CHEMBL1223
1947,PROPYLTHIOURACIL,CHEMBL1518
1948,BACITRACIN,CHEMBL1200558
1948,BETHANECHOL,CHEMBL1482
1948,BETHANECHOL CHLORIDE,CHEMBL1768
1948,CAFFEINE,CHEMBL113
1948,DOXYLAMINE,CHEMBL1004
1948,DOXYLAMINE SUCCINATE,CHEMBL1200392
1948,ERGOTAMINE,CHEMBL442
1948,ERGOTAMINE TARTRATE,CHEMBL2448612
1948,LIDOCAINE,CHEMBL79
1948,LIDOCAINE HYDROCHLORIDE,CHEMBL1200409
1948,PENICILLIN G PROCAINE,CHEMBL1200936
1948,PROCAINE BENZYLPENICILLIN,CHEMBL1628385
1948,TRIPELENNAMINE,CHEMBL1241
1948,TRIPELENNAMINE CITRATE,CHEMBL1200769
1948,TRIPELENNAMINE HYDROCHLORIDE,CHEMBL1200446
1949,CHLOROQUINE,CHEMBL76
1949,CHLOROQUINE HYDROCHLORIDE,CHEMBL4297165
1949,CHLOROQUINE PHOSPHATE,CHEMBL58510
1949,CROTAMITON,CHEMBL1200709
1949,HEXACHLOROPHENE,CHEMBL496
1949,MECHLORETHAMINE,CHEMBL427
1949,MECHLORETHAMINE HYDROCHLORIDE,CHEMBL1201001
1949,PARAMETHADIONE,CHEMBL1100
1949,SULFAMETHAZINE,CHEMBL446
1949,TRIHEXYPHENIDYL,CHEMBL1490
1949,TRIHEXYPHENIDYL HYDROCHLORIDE,CHEMBL1092
1950,AMINOSALICYLATE SODIUM,CHEMBL2096646
1950,AMINOSALICYLIC ACID,CHEMBL1169
1950,ASPIRIN,CHEMBL25
1950,CHLORAMPHENICOL,CHEMBL130
1950,CHLORPHENIRAMINE,CHEMBL505
1950,CHLORPHENIRAMINE MALEATE,CHEMBL1659
1950,CHLORTETRACYCLINE,CHEMBL404520
1950,CHLORTETRACYCLINE HYDROCHLORIDE,CHEMBL2146063
1950,CORTICOTROPIN,CHEMBL1201610
1950,CORTISONE ACETATE,CHEMBL1650
1950,DICYCLOMINE,CHEMBL1123
1950,DICYCLOMINE HYDROCHLORIDE,CHEMBL1200479
1950,DIETHYLCARBAMAZINE,CHEMBL684
1950,DIETHYLCARBAMAZINE CITRATE,CHEMBL937
1950,METHIMAZOLE,CHEMBL1515
1950,NOREPINEPHRINE BITARTRATE,CHEMBL1434513
1950,OXYCODONE,CHEMBL656
1950,OXYCODONE HYDROCHLORIDE,CHEMBL1200890
1950,OXYCODONE TEREPHTHALATE,CHEMBL3989826
1950,PROCAINAMIDE,CHEMBL640
1950,PROCAINAMIDE HYDROCHLORIDE,CHEMBL605
1950,QUINIDINE,CHEMBL1294
1950,QUINIDINE GLUCONATE,CHEMBL1200437
1950,SECOBARBITAL,CHEMBL447
1950,SECOBARBITAL SODIUM,CHEMBL1200903
1950,SULFASALAZINE,CHEMBL421
1951,DISULFIRAM,CHEMBL964
1951,DYPHYLLINE,CHEMBL1752
1951,EDROPHONIUM,CHEMBL1104
1951,EDROPHONIUM CHLORIDE,CHEMBL1128
1951,HYDROCORTISONE ACETATE,CHEMBL1091
1951,IOPANOIC ACID,CHEMBL867
1951,MEPHENTERMINE,CHEMBL1201234
1951,MEPHENTERMINE SULFATE,CHEMBL3184799
1951,METHANTHELINE,CHEMBL1201264
1951,METHANTHELINE BROMIDE,CHEMBL1200988
1951,PHENACEMIDE,CHEMBL918
1951,PROBENECID,CHEMBL897
1951,PROMETHAZINE,CHEMBL643
1951,PROMETHAZINE HYDROCHLORIDE,CHEMBL1200750
1951,SELENIUM SULFIDE,CHEMBL1200680
1952,CODEINE,CHEMBL485
1952,CODEINE PHOSPHATE,CHEMBL1201099
1952,HYDROCORTISONE,CHEMBL389621
1952,ISONIAZID,CHEMBL64
1952,LEUCOVORIN,CHEMBL1679
1952,LEUCOVORIN CALCIUM,CHEMBL1201138
1952,MONOBENZONE,CHEMBL1388
1952,PENICILLIN G BENZATHINE,CHEMBL3989515
1952,PHENTOLAMINE,CHEMBL597
1952,PHENTOLAMINE MESYLATE,CHEMBL1200873
1952,PHENYLEPHRINE,CHEMBL1215
1952,PHENYLEPHRINE HYDROCHLORIDE,CHEMBL1200339
1952,PRIMAQUINE,CHEMBL506
1952,PRIMAQUINE PHOSPHATE,CHEMBL43128
1952,SUCCINYLCHOLINE CHLORIDE,CHEMBL983
1952,SUXAMETHONIUM,CHEMBL703
1953,ACETAZOLAMIDE,CHEMBL20
1953,EDETATE CALCIUM DISODIUM ANHYDROUS,CHEMBL1200375
1953,EDETATE CALCIUM DISODIUM MONOHYDRATE,CHEMBL3989522
1953,ERGOLOID,CHEMBL2364968
1953,ERGOLOID MESYLATES,CHEMBL2311030
1953,HYDRALAZINE,CHEMBL276832
1953,HYDRALAZINE HYDROCHLORIDE,CHEMBL542541
1953,HYDROXYSTILBAMIDINE,CHEMBL1301
1953,HYDROXYSTILBAMIDINE ISETHIONATE,CHEMBL2023895
1953,MERCAPTOPURINE,CHEMBL1200751
1953,MERCAPTOPURINE ANHYDROUS,CHEMBL1425
1953,METHOTREXATE,CHEMBL34259
