ChEMBL_ID,UniProt_Accession
CHEMBL2396661,Q9HCP0
CHEMBL2396661,P23458
CHEMBL2396661,P06493
CHEMBL2396661,P42338
CHEMBL2396661,P36894
CHEMBL2396661,P17252
CHEMBL2396661,P06213
CHEMBL2396661,P21709
CHEMBL2396661,P08631
CHEMBL2396661,P15056
CHEMBL2396661,Q9UGJ0
CHEMBL2396661,P12236
CHEMBL2396661,Q13315
CHEMBL2396661,Q9NSE4
CHEMBL2396661,Q96S44
CHEMBL2396661,Q9H2K8
CHEMBL2396661,P09619
CHEMBL2396661,Q14683
CHEMBL2396661,P25098
CHEMBL2396661,O95819
CHEMBL2396661,P22830
CHEMBL2396661,P24941
CHEMBL2396661,P53779
CHEMBL2396661,Q9NU22
CHEMBL2396661,Q9P2R7
CHEMBL2396661,P42336
CHEMBL2396661,Q9HAZ1
CHEMBL2396661,Q6ZSR9
CHEMBL2396661,Q9P289
CHEMBL2396661,O14757
CHEMBL2396661,Q7RTN6
CHEMBL2396661,Q04912
CHEMBL2396661,P45985
CHEMBL2396661,Q15418
CHEMBL2396661,P31689
CHEMBL2396661,O75582
CHEMBL2396661,Q32MK0
CHEMBL2396661,P49759
CHEMBL2396661,Q14164
CHEMBL2396661,Q12851
CHEMBL2396661,Q92499
CHEMBL2396661,P12931
CHEMBL2396661,P05141
CHEMBL2396661,Q8TD19
CHEMBL2396661,Q9Y4K4
CHEMBL2396661,P36896
CHEMBL2396661,P42345
CHEMBL2396661,Q9UHD2
CHEMBL2396661,P49674
CHEMBL2396661,P29323
CHEMBL2396661,P06241
CHEMBL2396661,Q13464
CHEMBL2396661,P49760
CHEMBL2396661,P49137
CHEMBL2396661,O75643
CHEMBL2396661,P27361
CHEMBL2396661,O75116
CHEMBL2396661,Q14839
CHEMBL2396661,Q9NYV4
CHEMBL2396661,Q14680
CHEMBL2396661,Q13131
CHEMBL2396661,O00444
CHEMBL2396661,P54753
CHEMBL2396661,O00264
CHEMBL2396661,Q709F0
CHEMBL2396661,P30085
CHEMBL2396661,P26196
CHEMBL2396661,Q9Y6R4
CHEMBL2396661,Q16584
CHEMBL2396661,O14965
CHEMBL2396661,Q7KZI7
CHEMBL2396661,Q9Y5S2
CHEMBL2396661,P48730
CHEMBL2396661,Q96GD4
CHEMBL2396661,P29597
CHEMBL2396661,P43405
CHEMBL2396661,P22234
CHEMBL2396661,P55263
CHEMBL2396661,P06737
CHEMBL2396661,O95347
CHEMBL2396661,O95835
CHEMBL2396661,O00238
CHEMBL2396661,O75716
CHEMBL2396661,Q8NI60
CHEMBL2396661,P54577
CHEMBL2396661,P30519
CHEMBL2396661,P17612
CHEMBL2396661,O95382
CHEMBL2396661,P10398
CHEMBL2396661,P22612
CHEMBL2396661,P42285
CHEMBL2396661,P18074
CHEMBL2396661,P62826
CHEMBL2396661,Q04771
CHEMBL2396661,O15164
CHEMBL2396661,Q6DT37
CHEMBL2396661,P61160
CHEMBL2396661,Q02750
CHEMBL2396661,P11362
CHEMBL2396661,P41743
CHEMBL2396661,O96013
CHEMBL2396661,P36897
CHEMBL2396661,Q9Y2W1
CHEMBL2396661,P19784
CHEMBL2396661,P50750
CHEMBL2396661,P51955
CHEMBL2396661,P27986
CHEMBL2396661,P42336
CHEMBL2396661,P28482
CHEMBL2396661,P43686
CHEMBL2396661,P07332
CHEMBL2396661,Q8TD08
CHEMBL2396661,P20340
CHEMBL2396661,P42680
CHEMBL2396661,P11802
CHEMBL2396661,Q9Y616
CHEMBL2396661,P07949
CHEMBL2396661,P51617
CHEMBL2396661,P22694
CHEMBL2396661,Q9UPZ9
CHEMBL2396661,Q13177
CHEMBL2396661,P02770
CHEMBL2396661,Q02880
CHEMBL2396661,P61158
CHEMBL2396661,Q13882
CHEMBL2396661,Q15831
CHEMBL2396661,Q9Y6M4
CHEMBL2396661,P12268
CHEMBL2396661,Q9UKE5
CHEMBL2396661,P05771
CHEMBL2396661,P41250
CHEMBL2396661,O00764
CHEMBL2396661,Q9H2G2
CHEMBL2396661,O00329
CHEMBL2396661,O75460
CHEMBL2396661,P78527
CHEMBL2396661,Q13976
